tshirt name,price,image
Cute Shaanti Full Sleeve T-Shirt,284,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Pehli Fursat Mein Nikal Half Sleeve T-Shirt,284,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Cute Shaanti Half Sleeve T-Shirt,246,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Chill Elements Full Sleeve T-Shirt,399,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Musafir Doodle Half Sleeve T-Shirt,359,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Pehli Fursat Mein Nikal Half Sleeve T-Shirt,202,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Ek Engineer Hoon Full Sleeve T-Shirt,399,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Pehli Fursat Mein Nikal Full Sleeve T-Shirt,292,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Apna Vibe Alag Hai Half Sleeve T-Shirt,359,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Haq Se Back Bencher Full Sleeve T-Shirt,399,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Bholenaath Full Sleeve T-Shirt,308,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Musafir Doodle Half Sleeve T-Shirt,359,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Chill Elements Full Sleeve T-Shirt,399,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Rok Sako Toh Rok Lo Bike Half Sleeve T-Shirt,359,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Apna Vibe Alag Hai Full Sleeve T-Shirt,399,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
Royal Half Sleeve T-Shirt,359,https://images.bewakoof.com/t320/swagat-toh-karo-hamara-half-sleeve-t-shirt-men-s-printed-t-shirts-248261-1572590261.jpg,
